Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
2,360,583,491,2.544,1.272,-1
2,361,550,500,4.412,2.206,-1
2,362,535,513,2.561,1.280,-1
2,363,510,534,4.212,2.106,-196612
2,364,482,546,3.930,1.965,-131073
2,365,464,552,2.448,1.224,-13142881
2,366,444,559,2.733,1.367,-1
2,367,426,551,2.541,1.271,-1
2,368,393,548,4.275,2.137,-65537
2,369,377,556,2.308,1.154,-1
2,370,372,569,1.797,0.898,-1
2,371,357,591,3.435,1.717,-1
2,372,341,613,3.509,1.755,-1
2,373,334,624,1.682,0.841,-1
2,374,330,632,1.154,0.577,-131073
2,375,325,643,1.559,0.779,-65794
2,376,322,655,1.596,0.798,-1
2,377,325,668,1.721,0.861,-1
2,378,319,678,1.504,0.752,-257
2,379,319,679,0.129,0.065,-1
2,380,317,689,1.316,0.658,-257
2,381,314,698,1.224,0.612,-259
2,382,318,712,1.878,0.939,-1
2,383,306,719,1.792,0.896,-1
2,384,313,727,1.371,0.686,-196609
2,385,315,731,0.577,0.288,-1
2,386,321,741,1.504,0.752,-1
2,387,325,750,1.271,0.635,-1
2,388,326,756,0.785,0.392,-1
2,389,329,760,0.645,0.323,-259
2,390,325,763,0.645,0.323,-1
2,391,325,765,0.258,0.129,-65794
2,392,325,768,0.387,0.194,-1
2,393,324,775,0.912,0.456,-1
2,394,324,778,0.387,0.194,-1
2,395,325,778,0.129,0.065,-1
2,396,325,778,0.000,0.000,-1
2,397,360,780,4.522,2.261,-1
2,398,391,787,4.100,2.050,-1
2,399,409,786,2.326,1.163,-1
2,400,426,783,2.227,1.113,-66049
2,401,443,792,2.481,1.241,-12293761
2,402,451,797,1.217,0.608,-1
2,403,490,810,5.303,2.652,-1
2,404,547,821,7.489,3.744,-1
2,405,817,762,35.652,17.826,-1
2,406,824,750,1.792,0.896,-259
2,407,834,739,1.918,0.959,-1
2,408,841,729,1.575,0.787,-1
2,409,851,713,2.434,1.217,-1
2,410,855,695,2.379,1.189,-1
2,411,858,684,1.471,0.735,-1
2,412,856,653,4.007,2.004,-1
2,413,857,624,3.743,1.872,-1
2,414,848,601,3.186,1.593,-65796
2,415,833,584,2.925,1.462,-1
2,416,829,578,0.930,0.465,-1
2,417,811,564,2.942,1.471,-1
2,418,797,560,1.878,0.939,-1
2,419,764,560,4.257,2.128,-1
2,420,741,566,3.066,1.533,-1
2,421,717,578,3.461,1.731,-1
2,422,681,594,5.082,2.541,-9786917
2,423,657,602,3.263,1.632,-2
2,424,641,609,2.253,1.126,-259
2,425,614,608,3.485,1.743,-1
2,426,590,594,3.584,1.792,-2885633
2,427,573,592,2.208,1.104,-65796
2,428,546,588,3.521,1.761,-1
2,429,533,586,1.697,0.848,-131073
2,430,520,584,1.697,0.848,-3
2,431,500,582,2.593,1.296,-259
2,432,491,579,1.224,0.612,-1
2,433,465,575,3.393,1.697,-1
2,434,451,577,1.824,0.912,-1
2,435,438,578,1.682,0.841,-7495243
2,436,426,577,1.553,0.777,-1
2,437,413,575,1.697,0.848,-1
2,438,402,571,1.510,0.755,-1
2,439,383,565,2.570,1.285,-1
2,440,368,564,1.939,0.970,-1
2,441,340,562,3.621,1.811,-1
2,442,318,560,2.850,1.425,-1
2,443,297,562,2.721,1.361,-1
2,444,292,560,0.695,0.347,-131073
2,445,275,554,2.326,1.163,-1
2,446,257,542,2.791,1.395,-1
2,447,253,537,0.826,0.413,-1
2,448,256,523,1.847,0.923,-1
2,449,254,508,1.952,0.976,-66561
2,450,254,497,1.419,0.710,-1
2,451,257,484,1.721,0.861,-1
2,452,261,476,1.154,0.577,-1
2,453,232,510,5.765,2.882,-1
2,454,258,448,8.673,4.336,-1
2,455,280,429,3.750,1.875,-1
2,456,282,417,1.569,0.785,-1
2,457,285,410,0.982,0.491,-1
2,458,302,411,2.197,1.098,-1
2,459,290,415,1.632,0.816,-1
2,460,288,400,1.952,0.976,-14256728
2,461,288,400,0.000,0.000,-14256728
2,462,295,393,1.277,0.639,-1
2,463,302,384,1.471,0.735,-1
2,464,310,372,1.860,0.930,-65794
2,465,300,381,1.736,0.868,-1
2,466,316,360,3.406,1.703,-131075
2,467,326,351,1.736,0.868,-3
2,468,335,339,1.935,0.968,-1441793
2,469,340,332,1.110,0.555,-196609
2,470,346,320,1.731,0.865,-1
2,471,351,311,1.328,0.664,-1
2,472,363,301,2.015,1.008,-1
